POST_CODE,SUBURB_GROUP,SUBURB_NAMES,Median House Price 2022,Total Crime 2023,Estimated_Resident_Population_2021,Crime/Population Quotient,School_Count_2022,Has Hospital,Has Police Station,Has Supermarket,Affordability Livability Grade,Crime Livability Grade,School Livability Grade,Final Liveability Grade
3806,Outer,Berwick,885000.0,1733,23187,7.47401561219649,13,1.0,0.0,1.0,4,2,3,11.0
3981,Outer,Koo Wee Rup,700000.0,198,10148,1.951123374063855,4,0.0,0.0,0.0,5,5,1,11.0
3022,Mid,Ardeer,682000.0,195,7595,2.5674786043449638,2,0.0,0.0,0.0,5,5,1,11.0
3059,Outer,Greenvale,880000.0,491,22391,2.1928453396453933,6,0.0,0.0,0.0,4,5,2,11.0
3029,Outer,"Truganina, Weir Views, Hoppers Crossing, Tarneit, Truganina",626625.0,5701,18663,30.547071746235865,26,0.0,1.0,1.0,5,1,3,11.0
3023,Mid,"Cairnlea, Deer Park, Burnside, Burnside Heights, Caroline Springs, Cobblebank, Deanside",729928.5714285715,2614,10144,25.768927444794954,15,0.0,1.0,1.0,5,1,3,11.0
3037,Mid,"Delahey, Sydenham",678750.0,981,8154,12.030905077262693,9,0.0,0.0,1.0,5,2,3,11.0
3021,Mid,"Albanvale, Kealba, Kings Park, St Albans",653875.0,3565,14081,25.31780413322917,17,1.0,0.0,1.0,5,1,3,11.0
3018,Mid,"Altona, Seaholme",1147500.0,549,13652,4.021388807500732,5,0.0,1.0,1.0,3,4,2,11.0
3038,Mid,"Keilor Downs, Keilor Lodge, Taylors Lakes",861666.6666666666,1179,13193,8.936557265216402,6,1.0,1.0,1.0,4,2,2,11.0
3013,Mid,"Yarraville, Aintree, Bonnie Brook",871666.6666666666,792,15653,5.0597329585383,5,0.0,0.0,1.0,4,3,2,10.0
3020,Mid,"Albion, Sunshine, Sunshine North, Sunshine West",796625.0,4388,9576,45.82289055973266,18,0.0,1.0,1.0,4,1,3,10.0
3931,Outer,Mornington,1133500.0,1354,15273,8.86531788122831,7,1.0,1.0,1.0,3,2,2,10.0
3129,Mid,"Box Hill North, Mont Albert North",1484000.0,390,18304,2.130681818181818,5,1.0,0.0,0.0,2,5,2,10.0
3130,Mid,"Blackburn, Blackburn North, Blackburn South",1358666.6666666667,962,22360,4.302325581395349,11,0.0,0.0,1.0,2,4,3,10.0
3071,Mid,Thornbury,1455000.0,893,19152,4.662698412698413,8,0.0,0.0,1.0,2,4,3,10.0
3186,Mid,Brighton,3450000.0,952,23053,4.129614366893679,8,1.0,0.0,1.0,1,4,3,10.0
3016,Mid,"Williamstown, Williamstown North",1342000.0,1041,16074,6.476297125793207,6,1.0,1.0,1.0,2,3,2,10.0
