POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,Estimated_Resident_Population
3183,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Balaclava, St Kilda East, St Kilda East",16085
3184,Inner City municipalities and their suburbs,City of Port Phillip,Inner,Elwood,15041
3185,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Ripponlea, Gardenvale, Elsternwick, Gardenvale",12032
3186,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton,23053
3187,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton East,16695
3188,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Hampton, Hampton East",18406
3189,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Moorabbin, Moorabbin",9198
3190,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Highett, Highett",12541
3191,Southeastern municipalities and their suburbs,City of Bayside,Mid,Sandringham,17518
3192,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Cheltenham, Cheltenham, Cheltenham East, Cheltenham North",24355
3193,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Beaumaris, Black Rock",14124
3194,Southeastern municipalities and their suburbs,City of Kingston,Mid,Mentone,13304
3195,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Aspendale, Aspendale Gardens, Mordialloc, Parkdale, Waterways",8927
3196,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Bonbeach, Chelsea, Chelsea Heights, Edithvale",15314
3197,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Carrum, Patterson Lakes, Patterson Gardens",12115
3198,Southeastern municipalities and their suburbs,City of Frankston,Outer,Seaford,17359
3199,Southeastern municipalities and their suburbs,City of Frankston,Outer,"Frankston, Frankston South",23908
3200,Southeastern municipalities and their suburbs,City of Frankston,Outer,Frankston North,19665
3201,Southeastern municipalities and their suburbs,City of Frankston,Outer,Carrum Downs,22262
3204,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Bentleigh, McKinnon, Ormond",25201
3205,Inner City municipalities and their suburbs,City of Port Phillip,Inner,South Melbourne,11860
3206,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Albert Park, Middle Park",16023
3207,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Port Melbourne, Port Melbourne, Garden City",16373
3335,Western municipalities and their suburbs,City of Melton,Outer,"Rockbank, Strathtulloh, Taylors Hill, Thornhill Park",17836
3337,Western municipalities and their suburbs,City of Melton,Outer,"Kurunjang, Melton, Melton West",21502
3338,Western municipalities and their suburbs,City of Melton,Outer,"Brookfield, Eynesbury, Fraser Rise, Harkness, Melton South, Eynesbury",9939
3427,Western municipalities and their suburbs,City of Melton,Outer,"Diggers Rest, Diggers Rest",5297
3429,Northern municipalities and their suburbs,City of Hume,Outer,Sunbury,13786
3750,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wollert,24762
3752,Northern municipalities and their suburbs,City of Whittlesea,Outer,South Morang,12713
3754,Northern municipalities and their suburbs,City of Whittlesea,Outer,"Doreen, Doreen, Mernda",16477
3756,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wallan,22933
3757,Northern municipalities and their suburbs,City of Whittlesea,Outer,Whittlesea,10747
3763,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Kinglake,4235
3765,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Montrose,6995
3767,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mount Dandenong,9771
3777,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Badger Creek, Healesville, Healesville",14181
3793,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Monbulk,5857
3796,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mount Evelyn,9863
3802,Southeastern municipalities and their suburbs,City of Casey,Outer,Endeavour Hills,12191
3803,Southeastern municipalities and their suburbs,City of Casey,Outer,Hallam,11603
3804,Southeastern municipalities and their suburbs,City of Casey,Outer,Narre Warren North,8310
3805,Southeastern municipalities and their suburbs,City of Casey,Outer,"Narre Warren, Narre Warren South",13620
3806,Southeastern municipalities and their suburbs,City of Casey,Outer,Berwick,23187
3807,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Beaconsfield,23947
3810,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Pakenham,15615
3815,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Bunyip,9939
3910,Southeastern municipalities and their suburbs,City of Frankston,Outer,Langwarrin,25248
3912,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Pearcedale, Somerville, Pearcedale",8082
3915,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Hastings, Hastings West",24240
3930,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mount Eliza,18923
3931,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,Mornington,15273
3934,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Mount Martha, Balcombe, Osborne",20020
3936,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Dromana, Safety Beach",13460
3939,Southeastern municipalities and their suburbs,Shire of Mornington Peninsula,Outer,"Rosebud, Rosebud South, Cape Schanck, Fingal",23139
3975,Southeastern municipalities and their suburbs,City of Casey,Outer,"Lynbrook, Lyndhurst",18270
3976,Southeastern municipalities and their suburbs,City of Casey,Outer,Hampton Park,12861
3977,Southeastern municipalities and their suburbs,City of Casey,Outer,"Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne West, Cranbourne South, Junction Village, Fiveways, Sandhurst, Skye",21580
3978,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,"Clyde, Clyde North",10642
3981,Southeastern municipalities and their suburbs,Shire of Cardinia,Outer,Koo Wee Rup,10148
