POST_CODE,POST_CODE,Offence Division,Sum
680,3166,F Other offences,3
681,3168,A Crimes against the person,26
682,3168,B Property and deception offences,29
683,3168,C Drug offences,6
684,3168,D Public order and security offences,13
685,3168,E Justice procedures offences,8
686,3169,A Crimes against the person,24
687,3169,B Property and deception offences,28
688,3169,C Drug offences,6
689,3169,D Public order and security offences,11
690,3169,E Justice procedures offences,11
691,3169,F Other offences,2
692,3170,A Crimes against the person,12
693,3170,B Property and deception offences,17
694,3170,C Drug offences,4
695,3170,D Public order and security offences,10
696,3170,E Justice procedures offences,5
697,3171,A Crimes against the person,16
698,3171,B Property and deception offences,19
699,3171,C Drug offences,4
700,3171,D Public order and security offences,10
701,3171,E Justice procedures offences,6
702,3171,F Other offences,3
703,3172,A Crimes against the person,23
704,3172,B Property and deception offences,27
705,3172,C Drug offences,6
706,3172,D Public order and security offences,8
707,3172,E Justice procedures offences,9
708,3173,A Crimes against the person,17
709,3173,B Property and deception offences,18
710,3173,C Drug offences,4
711,3173,D Public order and security offences,9
712,3173,E Justice procedures offences,7
713,3173,F Other offences,3
714,3174,A Crimes against the person,29
715,3174,B Property and deception offences,33
716,3174,C Drug offences,7
717,3174,D Public order and security offences,11
718,3174,E Justice procedures offences,13
719,3174,F Other offences,3
720,3175,A Crimes against the person,54
721,3175,B Property and deception offences,60
722,3175,C Drug offences,12
723,3175,D Public order and security offences,27
724,3175,E Justice procedures offences,21
725,3175,F Other offences,4
726,3177,A Crimes against the person,25
727,3177,B Property and deception offences,28
728,3177,C Drug offences,5
729,3177,D Public order and security offences,9
730,3177,E Justice procedures offences,9
731,3178,A Crimes against the person,16
732,3178,B Property and deception offences,19
733,3178,C Drug offences,3
734,3178,D Public order and security offences,7
735,3178,E Justice procedures offences,7
736,3180,A Crimes against the person,14
737,3180,B Property and deception offences,16
738,3180,C Drug offences,4
739,3180,D Public order and security offences,4
740,3180,E Justice procedures offences,4
741,3180,F Other offences,1
742,3181,A Crimes against the person,31
743,3181,B Property and deception offences,41
744,3181,C Drug offences,7
745,3181,D Public order and security offences,20
746,3181,E Justice procedures offences,12
747,3181,F Other offences,4
748,3182,A Crimes against the person,25
749,3182,B Property and deception offences,31
750,3182,C Drug offences,8
751,3182,D Public order and security offences,15
752,3182,E Justice procedures offences,12
753,3182,F Other offences,3
754,3183,A Crimes against the person,31
755,3183,B Property and deception offences,37
756,3183,C Drug offences,5
757,3183,D Public order and security offences,13
758,3183,E Justice procedures offences,12
759,3184,A Crimes against the person,15
760,3184,B Property and deception offences,16
761,3184,C Drug offences,3
762,3184,D Public order and security offences,7
763,3184,E Justice procedures offences,4
764,3185,A Crimes against the person,19
765,3185,B Property and deception offences,35
766,3185,C Drug offences,4
767,3185,D Public order and security offences,11
768,3185,E Justice procedures offences,11
769,3186,A Crimes against the person,16
770,3186,B Property and deception offences,16
771,3186,C Drug offences,2
772,3186,D Public order and security offences,6
773,3186,E Justice procedures offences,7
774,3186,F Other offences,1
775,3187,A Crimes against the person,13
776,3187,B Property and deception offences,18
777,3187,C Drug offences,4
778,3187,D Public order and security offences,6
779,3187,E Justice procedures offences,5
780,3188,A Crimes against the person,25
781,3188,B Property and deception offences,29
782,3188,C Drug offences,5
783,3188,D Public order and security offences,11
784,3188,E Justice procedures offences,9
785,3188,F Other offences,1
786,3189,A Crimes against the person,16
787,3189,B Property and deception offences,14
788,3189,C Drug offences,5
789,3189,D Public order and security offences,8
790,3189,E Justice procedures offences,8
791,3190,A Crimes against the person,17
792,3190,B Property and deception offences,27
793,3190,C Drug offences,4
794,3190,D Public order and security offences,7
795,3190,E Justice procedures offences,10
796,3191,A Crimes against the person,16
797,3191,B Property and deception offences,13
798,3191,C Drug offences,2
799,3191,D Public order and security offences,6
800,3191,E Justice procedures offences,5
801,3191,F Other offences,1
802,3192,A Crimes against the person,25
803,3192,B Property and deception offences,33
804,3192,C Drug offences,6
805,3192,D Public order and security offences,12
806,3192,E Justice procedures offences,11
807,3192,F Other offences,3
808,3193,A Crimes against the person,19
809,3193,B Property and deception offences,25
810,3193,C Drug offences,5
811,3193,D Public order and security offences,4
812,3193,E Justice procedures offences,8
813,3193,F Other offences,3
814,3194,A Crimes against the person,20
815,3194,B Property and deception offences,25
816,3194,C Drug offences,4
817,3194,D Public order and security offences,9
818,3194,E Justice procedures offences,8
819,3194,F Other offences,1
820,3195,A Crimes against the person,44
821,3195,B Property and deception offences,61
822,3195,C Drug offences,11
823,3195,D Public order and security offences,18
824,3195,E Justice procedures offences,18
825,3195,F Other offences,3
826,3196,A Crimes against the person,36
827,3196,B Property and deception offences,49
828,3196,C Drug offences,10
829,3196,D Public order and security offences,14
830,3196,E Justice procedures offences,16
831,3196,F Other offences,5
832,3197,A Crimes against the person,23
833,3197,B Property and deception offences,26
834,3197,C Drug offences,8
835,3197,D Public order and security offences,9
836,3197,E Justice procedures offences,9
837,3197,F Other offences,2
838,3198,A Crimes against the person,16
839,3198,B Property and deception offences,15
840,3198,C Drug offences,4
841,3198,D Public order and security offences,8
842,3198,E Justice procedures offences,8
843,3198,F Other offences,1
844,3199,A Crimes against the person,30
845,3199,B Property and deception offences,33
846,3199,C Drug offences,7
847,3199,D Public order and security offences,16
848,3199,E Justice procedures offences,14
849,3199,F Other offences,7
850,3200,A Crimes against the person,13
851,3200,B Property and deception offences,15
852,3200,C Drug offences,5
853,3200,D Public order and security offences,7
854,3200,E Justice procedures offences,7
855,3200,F Other offences,2
856,3201,A Crimes against the person,16
857,3201,B Property and deception offences,19
858,3201,C Drug offences,5
859,3201,D Public order and security offences,6
860,3201,E Justice procedures offences,6
861,3201,F Other offences,1
862,3204,A Crimes against the person,30
863,3204,B Property and deception offences,39
864,3204,C Drug offences,9
865,3204,D Public order and security offences,9
866,3204,E Justice procedures offences,12
867,3205,A Crimes against the person,15
868,3205,B Property and deception offences,18
869,3205,C Drug offences,3
870,3205,D Public order and security offences,11
871,3205,E Justice procedures offences,7
872,3206,A Crimes against the person,15
873,3206,B Property and deception offences,25
874,3206,C Drug offences,3
875,3206,D Public order and security offences,8
876,3206,E Justice procedures offences,6
877,3207,A Crimes against the person,25
878,3207,B Property and deception offences,30
879,3207,C Drug offences,7
880,3207,D Public order and security offences,14
881,3207,E Justice procedures offences,8
882,3207,F Other offences,3
883,3335,A Crimes against the person,27
884,3335,B Property and deception offences,41
885,3335,C Drug offences,8
886,3335,D Public order and security offences,7
887,3335,E Justice procedures offences,11
888,3335,F Other offences,1
889,3337,A Crimes against the person,57
890,3337,B Property and deception offences,58
891,3337,C Drug offences,12
892,3337,D Public order and security offences,20
893,3337,E Justice procedures offences,24
894,3337,F Other offences,5
895,3338,A Crimes against the person,58
896,3338,B Property and deception offences,63
897,3338,C Drug offences,10
