POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,A Crimes against the person,B Property and deception offences,C Drug offences,D Public order and security offences,E Justice procedures offences,F Other offences,Total Crime 2023
3172,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Springvale South, Dingley Village",141,522,49,28,110,0,850
3173,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Keysborough,172,704,38,35,107,3,1059
3174,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Noble Park, Noble Park North",487,1351,131,91,362,3,2425
3175,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,"Dandenong, Dandenong North",1400,3517,330,423,1536,7,7213
3177,Southeastern municipalities and their suburbs,City of Casey,Outer,"Doveton, Eumemmerring",236,590,28,38,161,0,1053
3178,Eastern municipalities and their suburbs,City of Knox,Mid,Rowville,207,594,44,26,162,0,1033
3180,Eastern municipalities and their suburbs,City of Knox,Mid,Knoxfield,59,182,23,12,29,1,306
3181,Southeastern municipalities and their suburbs,City of Stonnington,Mid,"Prahran, Windsor",493,1727,98,241,218,5,2782
3182,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"St Kilda, St Kilda West",591,1965,192,216,417,7,3388
3183,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Balaclava, St Kilda East, St Kilda East",166,830,24,38,106,0,1164
3184,Inner City municipalities and their suburbs,City of Port Phillip,Inner,Elwood,88,530,17,18,65,0,718
3185,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Ripponlea, Gardenvale, Elsternwick, Gardenvale",91,475,12,23,65,0,666
3186,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton,96,719,11,50,74,2,952
3187,Southeastern municipalities and their suburbs,City of Bayside,Mid,Brighton East,65,420,19,18,62,0,584
3188,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Hampton, Hampton East",114,614,24,35,101,1,889
3189,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Moorabbin, Moorabbin",87,464,50,38,326,0,965
3190,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Highett, Highett",68,395,18,24,165,0,670
3191,Southeastern municipalities and their suburbs,City of Bayside,Mid,Sandringham,81,282,15,18,69,1,466
3192,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Cheltenham, Cheltenham, Cheltenham East, Cheltenham North",240,906,32,43,133,3,1357
3193,Southeastern municipalities and their suburbs,City of Bayside,Mid,"Beaumaris, Black Rock",77,353,9,5,38,5,487
3194,Southeastern municipalities and their suburbs,City of Kingston,Mid,Mentone,102,583,12,23,90,1,811
3195,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Aspendale, Aspendale Gardens, Mordialloc, Parkdale, Waterways",247,809,47,60,168,6,1337
3196,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Bonbeach, Chelsea, Chelsea Heights, Edithvale",172,583,49,41,167,5,1017
3197,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Carrum, Patterson Lakes, Patterson Gardens",93,302,34,31,79,6,545
3198,Southeastern municipalities and their suburbs,City of Frankston,Outer,Seaford,222,760,66,57,237,1,1343
3199,Southeastern municipalities and their suburbs,City of Frankston,Outer,"Frankston, Frankston South",858,2394,190,373,1524,12,5351
3200,Southeastern municipalities and their suburbs,City of Frankston,Outer,Frankston North,130,263,34,30,103,3,563
3201,Southeastern municipalities and their suburbs,City of Frankston,Outer,Carrum Downs,261,682,62,58,217,1,1281
3204,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Bentleigh, McKinnon, Ormond",148,836,34,17,78,0,1113
3205,Inner City municipalities and their suburbs,City of Port Phillip,Inner,South Melbourne,233,1281,57,82,152,0,1805
3206,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Albert Park, Middle Park",53,457,8,15,29,0,562
3207,Inner City municipalities and their suburbs,City of Port Phillip,Inner,"Port Melbourne, Port Melbourne, Garden City",210,1221,43,57,131,9,1671
3335,Western municipalities and their suburbs,City of Melton,Outer,"Rockbank, Strathtulloh, Taylors Hill, Thornhill Park",81,549,17,14,42,1,704
3337,Western municipalities and their suburbs,City of Melton,Outer,"Kurunjang, Melton, Melton West",681,1374,102,132,469,7,2765
3338,Western municipalities and their suburbs,City of Melton,Outer,"Brookfield, Eynesbury, Fraser Rise, Harkness, Melton South, Eynesbury",502,916,55,68,241,3,1785
3427,Western municipalities and their suburbs,City of Melton,Outer,"Diggers Rest, Diggers Rest",61,132,6,12,31,0,242
3429,Northern municipalities and their suburbs,City of Hume,Outer,Sunbury,422,768,58,58,297,1,1604
3750,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wollert,143,314,23,12,71,2,565
3752,Northern municipalities and their suburbs,City of Whittlesea,Outer,South Morang,144,361,32,40,121,1,699
3754,Northern municipalities and their suburbs,City of Whittlesea,Outer,"Doreen, Doreen, Mernda",295,612,52,52,296,2,1309
3756,Northern municipalities and their suburbs,City of Whittlesea,Outer,Wallan,200,317,25,31,147,5,725
3757,Northern municipalities and their suburbs,City of Whittlesea,Outer,Whittlesea,64,122,15,15,43,0,259
3763,Northern municipalities and their suburbs,Shire of Nillumbik,Outer,Kinglake,8,25,3,1,4,1,42
3765,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Montrose,35,59,5,6,23,1,129
3767,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mount Dandenong,8,19,2,1,2,0,32
3777,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Badger Creek, Healesville, Healesville",93,171,8,18,78,1,369
3793,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Monbulk,23,53,9,2,15,4,106
3796,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Mount Evelyn,67,104,6,6,40,0,223
