POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,SUBURB_NAMES,Median House Price 2022,A Crimes against the person 2023,B Property and deception offences 2023,C Drug offences 2023,D Public order and security offences 2023,E Justice procedures offences 2023,F Other offences 2023,Total Crime 2023,Estimated_Resident_Population_2021,School_Count_2022,Hospital_Count_2023,Police_Count_2023,Supermarket_Count_2023
3153,Eastern municipalities and their suburbs,City of Knox,Mid,"Bayswater, Bayswater North",885750.0,255,661,98,62,211,3,1290,12707,6,1.0,0.0,1.0
3154,Eastern municipalities and their suburbs,City of Knox,Mid,The Basin,853000.0,50,55,14,11,19,1,150,4380,3,0.0,0.0,0.0
3155,Eastern municipalities and their suburbs,City of Knox,Mid,Boronia,832500.0,232,598,112,78,271,3,1294,23831,5,1.0,1.0,1.0
3156,Eastern municipalities and their suburbs,City of Knox,Mid,"Ferntree Gully, Lysterfield, Upper Ferntree Gully, Upper Ferntree Gully, Lysterfield, Lysterfield South",1215500.0,295,820,106,64,192,3,1480,6656,12,0.0,0.0,1.0
3158,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,Upwey,890000.0,35,101,3,5,14,0,158,9848,3,1.0,0.0,1.0
3160,Eastern municipalities and their suburbs,Shire of Yarra Ranges,Outer,"Belgrave, Belgrave Heights, Belgrave South, Tecoma",915500.0,57,152,9,9,40,2,269,10095,5,0.0,1.0,1.0
3161,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Caulfield North,2645000.0,70,475,11,15,40,1,612,22739,3,1.0,0.0,0.0
3162,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Caulfield, Caulfield South",1962000.0,62,373,15,17,87,0,554,18232,4,1.0,1.0,1.0
3163,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,"Carnegie, Glen Huntly, Murrumbeena",1644500.0,145,935,15,33,94,1,1223,18803,5,0.0,0.0,1.0
3165,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,Bentleigh East,1500000.0,147,633,32,15,77,1,905,14153,6,1.0,0.0,0.0
3166,Southeastern municipalities and their suburbs,City of Monash,Mid,"Hughesdale, Huntingdale, Oakleigh, Oakleigh East",1330875.0,203,1243,67,54,166,4,1737,7644,7,0.0,0.0,1.0
3168,Southeastern municipalities and their suburbs,City of Monash,Mid,"Clayton, Clayton North, Notting Hill",1163833.3333333333,251,1199,42,46,132,0,1670,10114,3,1.0,0.0,1.0
3169,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Clarinda, Clayton South, Westall",991500.0,164,636,43,33,103,2,981,11656,7,1.0,0.0,1.0
3170,Southeastern municipalities and their suburbs,City of Monash,Mid,Mulgrave,992000.0,118,726,27,39,108,0,1018,20078,5,1.0,0.0,1.0
3171,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Springvale,885000.0,267,1336,164,120,254,4,2145,22537,7,0.0,1.0,1.0
3172,Southeastern municipalities and their suburbs,City of Kingston,Mid,"Springvale South, Dingley Village",964750.0,141,522,49,28,110,0,850,10554,7,0.0,0.0,1.0
3173,Southeastern municipalities and their suburbs,City of Greater Dandenong,Outer,Keysborough,911500.0,172,704,38,35,107,3,1059,15204,7,0.0,0.0,1.0
