POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,prelim 2023,change 2021-22,change 2021-22,Growth PA,SUBURB_NAMES
3040,Northern municipalities and their suburbs,City of Moonee Valley,Mid,920000.0,870000.0,942000.0,1228000.0,1365000.0,1400000.0,1691000.0,1450000.0,1520000,1750000,1825000,1765000,4,98,7.1,"Aberfeldie, Essendon, Essendon West"
3040,Northern municipalities and their suburbs,City of Moonee Valley,Mid,720000.0,720000.0,785000.0,920000.0,962500.0,1296000.0,1221000.0,1180000.0,1275000,1390000,1265500,960000,-9,76,5.8,"Aberfeldie, Essendon, Essendon West"
3042,Northern municipalities and their suburbs,City of Moonee Valley,Mid,495000.0,532000.0,575000.0,635000.0,742000.0,845000.0,845000.0,795000.0,812500,965000,926500,795000,-4,87,6.5,"Airport West, Niddrie, Keilor Park"
3042,Northern municipalities and their suburbs,City of Moonee Valley,Mid,666000.0,700000.0,747500.0,832500.0,910000.0,1095000.0,1070000.0,1070000.0,1000500,1246000,1305000,903000,5,96,7.0,"Airport West, Niddrie, Keilor Park"
3042,Western municipalities and their suburbs,City of Brimbank,Mid,480000.0,455000.0,512500.0,565000.0,650000.0,741000.0,770000.0,704000.0,735000,820500,892500,795000,9,86,6.4,"Airport West, Niddrie, Keilor Park"
3032,Northern municipalities and their suburbs,City of Moonee Valley,Mid,701500.0,735000.0,810000.0,885000.0,1010000.0,1185000.0,1197500.0,1098500.0,1250000,1300000,1315000,1349000,1,87,6.5,"Ascot Vale, Travancore, Maribyrnong"
3032,Northern municipalities and their suburbs,City of Moonee Valley,Mid,810000.0,905000.0,848000.0,1100000.0,1305000.0,1415000.0,1475000.0,1125000.0,1617500,1800000,1455000,900000,-19,80,6.0,"Ascot Vale, Travancore, Maribyrnong"
3032,Western municipalities and their suburbs,City of Maribyrnong,Mid,646000.0,714000.0,750500.0,837500.0,940000.0,1056000.0,1050000.0,961500.0,936500,1165000,1160000,1055000,0,80,6.0,"Ascot Vale, Travancore, Maribyrnong"
3034,Northern municipalities and their suburbs,City of Moonee Valley,Mid,536000.0,532500.0,560000.0,650000.0,750000.0,845500.0,830000.0,810000.0,842500,965500,990000,857000,3,85,6.3,Avondale Heights
3041,Northern municipalities and their suburbs,City of Moonee Valley,Mid,686000.0,725000.0,840000.0,808000.0,875000.0,1100000.0,1145000.0,1100000.0,1260000,1400000,1510000,1055000,8,120,8.2,"Essendon North, Strathmore, Strathmore Heights"
3041,Northern municipalities and their suburbs,City of Moonee Valley,Mid,800000.0,827500.0,865000.0,997500.0,1140000.0,1230000.0,1357500.0,1310000.0,1360000,1591000,1605000,1200000,1,101,7.2,"Essendon North, Strathmore, Strathmore Heights"
3041,Northern municipalities and their suburbs,City of Moonee Valley,Mid,605000.0,621000.0,640000.0,700000.0,808000.0,970000.0,885000.0,800000.0,835000,962500,952500,1102500,-1,57,4.6,"Essendon North, Strathmore, Strathmore Heights"
