POST_CODE,MUNICIPALITY,CITY_SHIRE,SUBURB_GROUP,POST_CODE,Education_Sector,School_Name,School_Type,Longitude,Latitude,SUBURB_NAMES
57,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3206,Government,South Melbourne Park Primary School,Primary,144.9627,-37.84054,"Albert Park, Middle Park"
58,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3206,Government,Albert Park College,Secondary,144.94736,-37.84479,"Albert Park, Middle Park"
59,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3206,Government,Albert Park Primary School,Primary,144.95277,-37.84188,"Albert Park, Middle Park"
60,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3206,Government,Middle Park Primary School,Primary,144.95751,-37.8478,"Albert Park, Middle Park"
61,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3206,Government,South Melbourne Park Primary School,Primary,144.9627,-37.84054,"Albert Park, Middle Park"
62,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3206,Government,Albert Park College,Secondary,144.94736,-37.84479,"Albert Park, Middle Park"
63,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Government,Ripponlea Primary School,Primary,145.00505,-37.87461,"Balaclava, St Kilda East, St Kilda East"
64,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Catholic,St Marys College Melbourne,Secondary,144.997,-37.85936,"Balaclava, St Kilda East, St Kilda East"
65,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Independent,Caulfield Grammar School,Pri/Sec,145.00489,-37.87738,"Balaclava, St Kilda East, St Kilda East"
66,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Catholic,St Mary's School,Primary,144.99759,-37.85902,"Balaclava, St Kilda East, St Kilda East"
67,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Independent,Yeshivah College,Pri/Sec,145.00034,-37.86812,"Balaclava, St Kilda East, St Kilda East"
68,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Independent,Beth Rivkah Ladies College,Pri/Sec,145.00084,-37.86928,"Balaclava, St Kilda East, St Kilda East"
69,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Government,Ripponlea Primary School,Primary,145.00505,-37.87461,"Balaclava, St Kilda East, St Kilda East"
70,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Catholic,St Marys College Melbourne,Secondary,144.997,-37.85936,"Balaclava, St Kilda East, St Kilda East"
71,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Independent,Caulfield Grammar School,Pri/Sec,145.00489,-37.87738,"Balaclava, St Kilda East, St Kilda East"
72,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Catholic,St Mary's School,Primary,144.99759,-37.85902,"Balaclava, St Kilda East, St Kilda East"
73,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Independent,Yeshivah College,Pri/Sec,145.00034,-37.86812,"Balaclava, St Kilda East, St Kilda East"
74,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3183,Independent,Beth Rivkah Ladies College,Pri/Sec,145.00084,-37.86928,"Balaclava, St Kilda East, St Kilda East"
75,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3183,Government,Ripponlea Primary School,Primary,145.00505,-37.87461,"Balaclava, St Kilda East, St Kilda East"
76,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3183,Catholic,St Marys College Melbourne,Secondary,144.997,-37.85936,"Balaclava, St Kilda East, St Kilda East"
77,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3183,Independent,Caulfield Grammar School,Pri/Sec,145.00489,-37.87738,"Balaclava, St Kilda East, St Kilda East"
78,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3183,Catholic,St Mary's School,Primary,144.99759,-37.85902,"Balaclava, St Kilda East, St Kilda East"
79,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3183,Independent,Yeshivah College,Pri/Sec,145.00034,-37.86812,"Balaclava, St Kilda East, St Kilda East"
80,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3183,Independent,Beth Rivkah Ladies College,Pri/Sec,145.00084,-37.86928,"Balaclava, St Kilda East, St Kilda East"
81,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3184,Government,Elwood Primary School,Primary,144.98836,-37.8815,Elwood
82,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3184,Government,Elwood College,Secondary,144.9852,-37.88232,Elwood
83,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3184,Catholic,St Columba's School,Primary,144.98112,-37.88253,Elwood
84,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3184,Independent,Yesodei HaTorah College,Pri/Sec,144.98349,-37.87323,Elwood
85,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3185,Catholic,St Joseph's School,Primary,145.00529,-37.88251,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
86,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3185,Independent,Adass Israel School,Pri/Sec,145.0082,-37.8839,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
87,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3185,Independent,Leibler Yavneh College,Pri/Sec,145.00663,-37.89287,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
88,Inner City municipalities and their suburbs,City of Port Phillip,Inner,3185,Independent,Sholem Aleichem College,Primary,145.0012,-37.88229,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
89,Southeastern municipalities and their suburbs,City of Bayside,Mid,3185,Catholic,St Joseph's School,Primary,145.00529,-37.88251,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
90,Southeastern municipalities and their suburbs,City of Bayside,Mid,3185,Independent,Adass Israel School,Pri/Sec,145.0082,-37.8839,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
91,Southeastern municipalities and their suburbs,City of Bayside,Mid,3185,Independent,Leibler Yavneh College,Pri/Sec,145.00663,-37.89287,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
92,Southeastern municipalities and their suburbs,City of Bayside,Mid,3185,Independent,Sholem Aleichem College,Primary,145.0012,-37.88229,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
93,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3185,Catholic,St Joseph's School,Primary,145.00529,-37.88251,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
94,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3185,Independent,Adass Israel School,Pri/Sec,145.0082,-37.8839,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
95,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3185,Independent,Leibler Yavneh College,Pri/Sec,145.00663,-37.89287,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
96,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3185,Independent,Sholem Aleichem College,Primary,145.0012,-37.88229,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
97,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3185,Catholic,St Joseph's School,Primary,145.00529,-37.88251,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
98,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3185,Independent,Adass Israel School,Pri/Sec,145.0082,-37.8839,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
99,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3185,Independent,Leibler Yavneh College,Pri/Sec,145.00663,-37.89287,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
100,Southeastern municipalities and their suburbs,City of Glen Eira,Mid,3185,Independent,Sholem Aleichem College,Primary,145.0012,-37.88229,"Ripponlea, Gardenvale, Elsternwick, Gardenvale"
